,location,latitude,longitude
335,"Santo Domingo, RD",18.4801972,-69.942111
336,,34.220389,70.3800314
337,Monterrey N.L,-10.7465318,-67.4811206
338,"murdock , mn ",40.9257921,-96.280126
339,"Hatillo, Puerto Rico",18.4071589,-66.795928721749
340,monterrey n.l,-10.7465318,-67.4811206
341,,34.220389,70.3800314
342,"Torreón, Coahuila de Zaragoza",25.542698,-103.4105122
343,,34.220389,70.3800314
344,,34.220389,70.3800314
345,,34.220389,70.3800314
346,,34.220389,70.3800314
347,Worldwide,53.45733965,-2.22695880505223
348,londo,-1.1855467,18.7702724
349,"Phoenix, AZ",33.4485866,-112.0773456
350,"Arecibo/Hatillo, PR",18.4864279,-66.7785707
351,"Monterrey, Nuevo León",25.63978365,-100.293101629066
352,,34.220389,70.3800314
353,Wisconsin,44.4308975,-89.6884637
354,"Ile-de-France, France",48.6443057,2.7537863
355, Monterrey N.L,-10.7465318,-67.4811206
356,Mexico DF,19.4326009,-99.1333416
357,,34.220389,70.3800314
358,,34.220389,70.3800314
359,"Athens, Greece",37.9841493,23.7279843
360,,34.220389,70.3800314
361,,34.220389,70.3800314
362,"Lewisberry, PA",40.1350929,-76.8596945
363,"Bahia, Brasil",-12.285251,-41.9294776
364,"Newnan, GA",33.3806716,-84.7996573
365,Saint Chez Moi,46.3269443,2.7740926
366,"California, USA",36.7014631,-118.7559974
367,"Guadalupe, Nuevo León",25.6766398,-100.200072072614
368,,34.220389,70.3800314
369,"miami , fl",25.7742658,-80.1936589
370,,34.220389,70.3800314
371,,34.220389,70.3800314
372,,34.220389,70.3800314
373,,34.220389,70.3800314
374,"Las Vegas, Nevada",36.1662859,-115.149225
375,,34.220389,70.3800314
376,,34.220389,70.3800314
377,,34.220389,70.3800314
378,"Lewisberry, PA",40.1350929,-76.8596945
379,Saint Chez Moi,46.3269443,2.7740926
380,"England, United Kingdom",52.7954791,-0.540240286617432
381,"Ciudad Guayana, Bolívar",8.3223763,-62.6896622
382,,34.220389,70.3800314
383,,34.220389,70.3800314
384,Paris 18e,48.89210335,2.34816884837151
385,"Las Vegas, NV",36.1662859,-115.149225
386,Mérida Venezuela,8.5974101,-71.1444008
387,USA,39.7837304,-100.4458825
388,,34.220389,70.3800314
389,"Toronto, Ontario",43.653963,-79.387207
390,"Brooklyn, NY",40.6501038,-73.9495823
391,,34.220389,70.3800314
392,,34.220389,70.3800314
393,,34.220389,70.3800314
394,,34.220389,70.3800314
395,,34.220389,70.3800314
396,United States,39.7837304,-100.4458825
397,,34.220389,70.3800314
398,"San Francisco, CA",45.42226195,-75.6397071198492
399,"San Francisco, CA",45.42226195,-75.6397071198492
400,"Ile-de-France, France",48.6443057,2.7537863
401,,34.220389,70.3800314
402,,34.220389,70.3800314
403,,34.220389,70.3800314
404,,34.220389,70.3800314
405,,34.220389,70.3800314
406,,34.220389,70.3800314
407,,34.220389,70.3800314
408,"Detroit, MI",42.3315509,-83.0466403
409,,34.220389,70.3800314
410,USA,39.7837304,-100.4458825
411,"San Jose, Ca",37.3361905,-121.8905833
412,United States,39.7837304,-100.4458825
413,"San Jose, Ca",37.3361905,-121.8905833
414,,34.220389,70.3800314
415,"Cincinnati, OH",39.1014537,-84.5124602
416,"North Carolina, USA",35.6729639,-79.0392919
417,,34.220389,70.3800314
418,,34.220389,70.3800314
419,Madrid,40.4167047,-3.7035825
420,Portugal,40.033265,-7.8896263
421,,34.220389,70.3800314
422,,34.220389,70.3800314
423,United States,39.7837304,-100.4458825
424,"Dallas, TX",32.7762719,-96.7968559
425,,34.220389,70.3800314
426,México,19.4326009,-99.1333416
427,,34.220389,70.3800314
428,,34.220389,70.3800314
429,Louisiana ,30.8703881,-92.007126
430,"Madrid, Comunidad de Madrid",40.4167047,-3.7035825
431,"Fresno, CA",36.7394421,-119.7848307
432,"Helsinki, Finland",60.1674086,24.9425683
433,Etats-Unis,39.7837304,-100.4458825
434,"Commerce, GA",34.002581,-118.156586
435,"São Gonçalo, Brasil",-22.8219014,-43.0309252
436,ÑÅP,40.8838572,14.2845432257409
437,Clermont-Ferrand,45.7774551,3.0819427
438,,34.220389,70.3800314
439,"Hatillo, Puerto Rico",18.4071589,-66.795928721749
440,,34.220389,70.3800314
441,,34.220389,70.3800314
442,,34.220389,70.3800314
443,United States,39.7837304,-100.4458825
444,The Hidden Leaf Village,37.253169,-80.4076522
445,,34.220389,70.3800314
446,"Milano, Lombardia",45.4667971,9.1904984
447,,34.220389,70.3800314
448,,34.220389,70.3800314
449,"Nantes, France",47.2186371,-1.5541362
450,,34.220389,70.3800314
451,,34.220389,70.3800314
452,,34.220389,70.3800314
453,"Washington, USA",38.8950092,-77.0365625
454,"Puebla, México",18.833333,-98.0
455,"Boise, ID",43.61656,-116.200835
456,,34.220389,70.3800314
457,Brasil,-10.3333333,-53.2
458,CDMX,19.32055625,-99.1517010707765
459,The world,25.2529955,55.1771471150149
460,,34.220389,70.3800314
461,,34.220389,70.3800314
462,대한민국,36.5581914,127.9408564
463,,34.220389,70.3800314
464,,34.220389,70.3800314
465,"Naples, Campania, Italy",40.8359336,14.2487826
466,"Independence, KY",38.9431183,-84.544109
